country_iso3,year,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct
CZE,2023,Czechia,47558.4,25.7,2.6
DEU,2015,Germany,59573.7,31.4,4.6
DEU,2016,Germany,60408.0,31.3,4.1
DEU,2017,Germany,61866.5,31.3,3.8
DEU,2018,Germany,62381.3,31.9,3.4
DEU,2019,Germany,62849.4,32.2,3.2
DEU,2020,Germany,60203.3,32.5,3.9
DEU,2021,Germany,62530.8,33.6,3.6
DEU,2022,Germany,63676.1,33.7,3.1
DEU,2023,Germany,63039.4,,3.1
DJI,2015,Djibouti,4961.9,,26.1
DJI,2016,Djibouti,5226.5,,26.0
DJI,2017,Djibouti,5422.0,41.6,26.1
DJI,2018,Djibouti,5590.5,,26.2
DJI,2019,Djibouti,5809.3,,26.3
DJI,2020,Djibouti,5791.5,,27.7
DJI,2021,Djibouti,5960.1,,27.6
DJI,2022,Djibouti,6180.7,,26.3
DJI,2023,Djibouti,6510.7,,26.1
DMA,2015,Dominica,16920.9,,
DMA,2016,Dominica,17364.1,,
DMA,2017,Dominica,16314.2,,
DMA,2018,Dominica,16877.1,,
DMA,2019,Dominica,17619.4,,
DMA,2020,Dominica,14919.5,,
DMA,2021,Dominica,15809.0,,
DMA,2022,Dominica,17550.8,,
DMA,2023,Dominica,18278.2,,
DNK,2015,Denmark,62405.7,28.2,6.3
DNK,2016,Denmark,63823.5,28.2,6.0
DNK,2017,Denmark,65352.4,28.7,5.8
DNK,2018,Denmark,66238.7,28.2,5.1
DNK,2019,Denmark,67131.5,27.7,5.0
DNK,2020,Denmark,65744.4,27.5,5.6
DNK,2021,Denmark,69715.2,28.3,5.1
DNK,2022,Denmark,69475.3,29.3,4.4
DNK,2023,Denmark,69379.2,29.9,5.1
DOM,2015,Dominican Republic,17973.2,45.2,7.6
DOM,2016,Dominican Republic,18969.0,45.7,7.3
DOM,2017,Dominican Republic,19501.9,42.2,5.8
DOM,2018,Dominican Republic,20662.8,43.7,5.9
DOM,2019,Dominican Republic,21451.3,41.9,6.4
DOM,2020,Dominican Republic,19545.4,39.6,6.1
DOM,2021,Dominican Republic,22053.5,38.5,7.7
DOM,2022,Dominican Republic,22987.0,37.0,5.5
DOM,2023,Dominican Republic,23282.5,38.4,5.6
DZA,2015,Algeria,15239.5,,11.2
DZA,2016,Algeria,15511.7,,10.2
DZA,2017,Algeria,15427.7,,12.0
DZA,2018,Algeria,15343.4,,12.1
DZA,2019,Algeria,15199.2,,12.3
DZA,2020,Algeria,14194.2,,14.1
DZA,2021,Algeria,14496.9,,13.7
DZA,2022,Algeria,14782.2,,12.4
DZA,2023,Algeria,15159.3,,11.6
EAP,2015,East Asia & Pacific (excluding high income),13493.2,,4.1
EAP,2016,East Asia & Pacific (excluding high income),14243.6,,4.0
EAP,2017,East Asia & Pacific (excluding high income),15060.0,,3.9
EAP,2018,East Asia & Pacific (excluding high income),15924.7,,3.8
EAP,2019,East Asia & Pacific (excluding high income),16753.9,,3.9
EAP,2020,East Asia & Pacific (excluding high income),16816.7,,4.4
EAP,2021,East Asia & Pacific (excluding high income),17966.2,,4.1
EAP,2022,East Asia & Pacific (excluding high income),18600.0,,4.2
EAP,2023,East Asia & Pacific (excluding high income),19522.2,,4.0
EAR,2015,Early-demographic dividend,9536.1,,6.8
EAR,2016,Early-demographic dividend,9888.5,,6.7
EAR,2017,Early-demographic dividend,10252.1,,6.7
EAR,2018,Early-demographic dividend,10561.4,,6.8
EAR,2019,Early-demographic dividend,10736.3,,6.3
EAR,2020,Early-demographic dividend,10192.0,,7.4
EAR,2021,Early-demographic dividend,10831.8,,6.7
EAR,2022,Early-demographic dividend,11378.5,,5.6
EAR,2023,Early-demographic dividend,11835.7,,5.1
EAS,2015,East Asia & Pacific,17172.6,,4.1
EAS,2016,East Asia & Pacific,17906.9,,4.0
