country_name_whr,year,happiness_score,country_iso3,social_spending_pct_gdp,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
Congo,2016,4.291,COG,,"Congo, Rep.",8001.8255194505,,20.298,,,,,,
Congo,2017,4.559,COG,,"Congo, Rep.",7372.77046737599,,20.737,,,,,,
Congo,2018,4.812,COG,,"Congo, Rep.",7029.33651566257,,20.84,,,,,,
Congo,2019,5.1943998336792,COG,,"Congo, Rep.",6939.36913397466,,20.494,,,,,,
Congo,2020,5.342,COG,,"Congo, Rep.",6350.50913409722,,22.286,,,,,,
Congo,2021,5.075,COG,,"Congo, Rep.",6263.21161292636,,21.998,,,,,,
Congo,2022,5.267,COG,,"Congo, Rep.",6205.1050414034,,20.131,,,,,,
Congo,2023,5.221,COG,,"Congo, Rep.",6172.28776650683,,19.919,,,,,,
Costa Rica,2015,7.087,CRI,0.254,Costa Rica,21254.7840932049,48.4,8.415,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2016,7.079,CRI,0.276,Costa Rica,21925.6000803999,48.7,8.085,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2017,7.072,CRI,0.438,Costa Rica,22622.5534502517,48.3,7.729,1.8,80.5,17.0,,47.0,22.0
